Num_Acc;an;mois;jour;hrmn;lum;agg;atm;col;dep
201400000209;14;8;2;1045;1;1;1;1;62
201400000210;14;8;27;1400;1;1;1;6;62
201400000211;14;8;28;1330;1;1;1;1;62
201400000212;14;10;4;800;1;1;1;7;62
201400000213;14;10;28;745;2;1;1;1;62
201400000214;14;12;3;1715;2;2;1;3;62
201400000215;14;12;24;1530;1;1;2;7;62
201400000216;14;9;2;1715;1;1;1;3;62
201400000217;14;10;15;945;1;2;1;3;62
201400000218;14;1;7;15;3;1;1;6;62
201400000219;14;3;6;1415;1;2;1;5;62
201400000220;14;3;30;930;1;2;1;6;62
201400000221;14;5;29;1500;1;2;1;3;62
201400000222;14;10;27;1730;2;2;1;3;62
201400000223;14;1;18;1230;1;1;8;7;62
201400000224;14;2;21;1845;4;1;1;6;62
201400000225;14;3;21;1045;1;1;2;7;62
201400000226;14;3;23;30;5;1;1;6;62
201400000227;14;5;5;1330;1;2;1;6;62
201400000228;14;5;14;2000;1;1;1;3;62
201400000229;14;5;17;1815;1;1;1;6;62
201400000230;14;5;21;1845;1;1;1;3;62
201400000231;14;6;25;745;1;1;1;2;62
201400000232;14;8;6;700;2;2;2;3;62
201400000233;14;9;20;1230;1;2;1;1;62
201400000234;14;11;7;1630;1;1;8;6;62
201400000235;14;12;9;1730;3;1;1;6;62
201400000236;14;1;6;730;2;1;1;1;62
201400000237;14;7;4;1000;1;2;1;7;62
201400000238;14;8;10;545;5;2;1;6;62
201400000239;14;8;23;200;3;1;1;6;62
201400000240;14;9;8;1745;1;2;1;6;62
201400000241;14;9;12;1915;1;1;1;3;62
201400000242;14;10;12;2215;3;1;3;7;62
201400000243;14;12;13;1330;1;2;1;3;62
201400000244;14;12;20;1045;1;2;1;6;62
201400000245;14;1;11;1400;1;1;1;1;62
201400000246;14;3;21;830;1;1;2;3;62
201400000247;14;2;3;1945;3;2;1;6;62
201400000248;14;4;8;1645;1;2;1;6;62
201400000249;14;9;12;1745;1;1;1;4;62
201400000250;14;11;30;1845;5;2;1;3;62
201400000251;14;6;14;430;3;1;1;7;62
201400000252;14;10;19;1630;1;1;1;1;62
201400000253;14;11;8;1415;1;1;1;1;62
201400000254;14;7;14;945;1;2;1;1;62
201400000255;14;7;19;1100;1;1;1;6;62
201400000256;14;9;13;915;1;2;1;3;62
201400000257;14;9;18;1315;1;2;1;6;62
201400000258;14;11;3;1045;1;1;3;3;62
201400000259;14;11;28;815;1;1;1;6;62
201400000260;14;12;7;1345;1;1;3;7;62
201400000261;14;2;4;2115;5;2;1;1;62
201400000262;14;4;17;1045;1;2;1;3;62
201400000263;14;4;16;445;3;1;1;6;62
201400000264;14;5;26;1745;1;2;2;3;62
201400000265;14;6;4;1430;1;1;1;3;62
201400000266;14;7;12;1645;1;1;1;7;62
201400000267;14;8;29;2300;3;2;1;6;62
201400000268;14;9;29;1415;1;2;1;6;62
201400000269;14;10;12;1630;1;2;1;6;62
201400000270;14;10;17;2315;3;2;1;1;62
201400000271;14;5;23;1745;1;1;1;6;62
201400000272;14;6;14;1215;1;2;1;3;62
201400000273;14;6;22;1200;1;2;1;3;62
201400000274;14;9;16;2015;2;1;1;6;62
201400000275;14;8;22;1600;1;2;1;3;62
201400000276;14;10;4;1430;1;2;1;6;62
201400000277;14;11;6;245;3;2;1;6;62
201400000278;14;11;22;1815;5;2;1;6;62
201400000279;14;11;27;415;5;2;1;1;62
201400000280;14;3;16;2045;3;2;1;6;62
201400000281;14;9;7;1215;1;1;1;6;62
201400000282;14;9;11;2230;3;1;1;3;62
201400000283;14;12;23;1915;3;1;8;5;62
201400000284;14;7;29;1715;1;1;1;3;62
201400000285;14;9;5;1730;1;1;1;3;62
201400000286;14;9;23;745;1;1;1;2;62
201400000287;14;10;2;2015;2;2;1;3;62
201400000288;14;11;1;2130;3;1;1;6;62
201400000289;14;8;5;1700;1;1;1;3;62
201400000290;14;8;15;600;2;1;8;3;62
201400000291;14;9;21;1330;1;1;1;3;62
201400000292;14;10;26;1645;2;2;1;6;62
201400000293;14;11;14;1845;3;2;1;6;62
201400000294;14;11;14;1845;3;1;2;1;62
201400000295;14;1;9;845;1;1;1;6;62
201400000296;14;2;23;545;3;1;1;6;62
201400000297;14;3;13;1915;3;1;5;3;62
201400000298;14;3;19;1700;1;1;1;1;62
201400000299;14;4;27;1545;1;1;1;1;62
201400000300;14;7;9;1945;2;1;3;6;62
201400000301;14;7;13;1100;1;1;2;6;62
201400000302;14;10;3;1715;1;2;1;3;62
201400000303;14;10;7;2100;3;1;2;3;62
201400000304;14;5;16;845;1;2;1;6;62
201400000305;14;5;16;1745;1;2;1;3;62
201400000306;14;10;27;1615;1;1;1;7;62
201400000307;14;12;15;2045;3;1;8;5;62
201400000308;14;8;23;1830;1;2;8;3;62
201400000309;14;9;30;1015;1;1;1;2;80
201400000310;14;3;14;300;3;1;5;7;80
201400000311;14;12;11;1945;3;1;3;6;80
201400000312;14;3;30;1230;1;1;1;6;80
201400000313;14;1;6;1815;3;1;2;7;80
201400000314;14;1;27;1730;2;1;1;7;80
201400000315;14;4;13;1815;1;1;1;1;80
201400000316;14;1;30;1330;1;2;1;6;80
201400000317;14;7;18;830;1;1;1;1;80
201400000318;14;10;3;1215;1;2;1;6;80
201400000319;14;10;19;1300;1;1;1;6;80
201400000320;14;12;11;1730;5;2;3;6;80
201400000321;14;12;12;1700;5;2;2;6;80
201400000322;14;12;21;1545;1;2;1;3;80
201400000323;14;1;18;1030;1;1;1;3;80
201400000324;14;9;26;1300;1;2;1;1;80
201400000325;14;9;27;1730;1;1;1;3;80
201400000326;14;2;2;445;5;2;1;6;20
201400000327;14;3;22;2000;4;1;1;3;20
201400000328;14;5;5;1830;1;1;1;3;20
201400000329;14;8;23;1900;1;2;1;6;20
201400000330;14;3;30;100;5;2;1;6;20
201400000331;14;9;15;915;1;1;1;3;20
201400000332;14;10;9;115;3;1;2;6;20
201400000333;14;10;9;1700;1;1;1;6;20
201400000334;14;11;18;1100;1;1;1;3;20
201400000335;14;11;21;1645;2;1;1;6;20
201400000336;14;12;28;715;5;2;1;6;20
201400000337;14;1;24;1855;3;1;1;1;20
201400000338;14;1;23;1815;2;1;2;1;20
201400000339;14;1;24;525;3;1;9;2;20
201400000340;14;7;27;1700;1;2;1;6;20
201400000341;14;8;30;1130;1;1;1;6;20
201400000342;14;10;7;830;1;2;1;1;20
201400000343;14;1;19;615;3;1;1;5;20
201400000344;14;4;23;1700;1;2;1;3;20
201400000345;14;10;20;1645;1;2;1;1;20
201400000346;14;1;18;1645;2;2;1;3;20
201400000347;14;3;23;445;5;2;1;6;20
201400000348;14;4;12;1300;1;2;1;1;20
201400000349;14;7;5;1400;1;1;1;7;20
201400000350;14;9;25;2045;3;2;1;6;20
201400000351;14;10;15;730;1;1;1;1;20
201400000352;14;5;21;910;1;1;8;3;20
201400000353;14;7;3;1215;1;2;1;1;20
201400000354;14;6;17;2100;1;2;1;6;20
201400000355;14;9;14;1630;1;1;1;1;20
201400000356;14;12;22;1900;3;1;1;6;20
201400000357;14;3;14;1915;2;2;1;6;20
201400000358;14;6;29;2115;2;1;9;6;20
201400000359;14;7;11;1045;1;1;1;6;20
201400000360;14;8;10;1900;2;1;1;6;20
201400000361;14;8;13;500;3;1;5;6;20
201400000362;14;10;31;2300;5;1;1;6;20
201400000363;14;7;26;1700;1;2;1;6;20
201400000364;14;9;6;2145;3;1;1;7;20
201400000365;14;8;31;1815;1;2;1;1;20
201400000366;14;1;24;740;3;1;9;1;20
201400000367;14;3;29;1645;1;1;1;6;20
201400000368;14;4;29;745;1;2;1;6;20
201400000369;14;5;13;2115;3;1;1;7;20
201400000370;14;6;6;1830;1;1;1;3;20
201400000371;14;9;18;715;1;1;1;1;20
201400000372;14;2;21;1645;1;2;1;6;20
201400000373;14;8;12;1600;1;1;1;6;20
201400000374;14;9;6;2145;3;1;1;7;20
201400000375;14;9;10;715;1;1;1;3;20
201400000376;14;9;10;1715;1;1;1;6;20
201400000377;14;11;7;1900;2;1;1;7;20
201400000378;14;7;2;1215;1;1;1;2;20
201400000379;14;7;17;800;1;1;1;4;20
201400000380;14;3;22;1835;2;2;1;7;20
201400000381;14;4;18;1530;1;1;1;1;20
201400000382;14;7;18;2015;1;2;1;3;20
201400000383;14;9;29;1115;1;1;2;1;20
201400000384;14;11;12;1700;2;1;1;7;20
201400000385;14;2;12;815;1;1;1;7;20
201400000386;14;3;15;940;1;1;1;4;20
201400000387;14;3;28;1400;1;1;1;1;20
201400000388;14;6;10;930;1;1;1;3;20
201400000389;14;6;17;1845;1;1;1;1;20
201400000390;14;6;15;1700;1;1;1;1;20
201400000391;14;10;25;600;2;1;2;6;20
201400000392;14;12;5;2100;3;1;1;2;20
201400000393;14;12;19;1830;2;2;1;3;20
201400000394;14;3;27;400;3;2;9;6;20
201400000395;14;7;3;2115;1;1;1;1;20
201400000396;14;4;5;2115;5;2;1;1;20
201400000397;14;6;6;1445;1;2;7;1;20
201400000398;14;7;2;1745;1;2;7;1;20
201400000399;14;7;12;1200;1;1;1;2;20
201400000400;14;10;22;1845;2;1;1;3;20
201400000401;14;1;18;2015;5;2;1;2;60
201400000402;14;3;3;1915;2;1;2;3;60
201400000403;14;5;3;2115;5;2;1;6;60
201400000404;14;6;26;1630;1;2;1;6;60
201400000405;14;8;23;2345;5;2;1;3;60
201400000406;14;2;22;900;1;1;8;6;60
201400000407;14;6;23;745;1;1;7;1;60
201400000408;14;8;28;1045;1;2;3;3;60
201400000409;14;11;23;2215;3;1;2;6;60
201400000410;14;12;17;1300;1;2;2;6;60
201400000411;14;3;25;800;1;1;2;3;60
201400000412;14;4;18;715;2;1;1;5;60
201400000413;14;5;12;715;1;1;1;3;60
201400000414;14;5;15;930;1;1;1;3;60
201400000415;14;8;7;1130;1;2;3;6;60
201400000416;14;9;29;1730;1;1;2;1;60
201400000417;14;10;26;1430;1;1;1;3;60
201400000418;14;11;23;1730;2;1;1;7;60
201400000419;14;3;15;1745;1;1;1;3;60
201400000420;14;3;15;1200;1;2;1;6;60
201400000421;14;3;27;645;2;1;1;1;60
201400000422;14;7;13;545;2;1;2;6;60
201400000423;14;11;20;1645;2;1;5;7;60
201400000424;14;12;6;730;3;1;9;6;60
201400000425;14;12;7;2315;3;1;2;6;60
201400000426;14;9;15;2000;2;1;1;3;60
201400000427;14;1;16;1415;1;1;1;5;60
201400000428;14;1;17;1145;1;1;3;1;60
201400000429;14;1;28;730;2;2;1;6;60
201400000430;14;2;22;2230;3;1;1;6;60
201400000431;14;4;18;1600;1;2;1;6;60
201400000432;14;5;6;900;1;2;2;6;60
201400000433;14;5;14;1915;1;1;1;1;60
201400000434;14;9;12;730;1;2;1;1;60
201400000435;14;10;4;1530;1;1;1;6;60
201400000436;14;10;5;1630;1;2;1;6;60
201400000437;14;11;8;1830;5;2;1;7;60
201400000438;14;11;9;2330;3;1;1;1;60
201400000439;14;12;7;1915;3;1;2;5;60
201400000440;14;12;4;1700;2;2;1;6;60
201400000441;14;2;2;1945;3;1;1;7;60
201400000442;14;4;4;515;3;1;1;6;60
201400000443;14;7;26;1600;1;1;9;3;60
201400000444;14;11;7;1845;2;1;1;3;60
201400000445;14;11;21;1830;3;1;1;3;60
201400000446;14;1;11;2000;3;1;1;6;60
201400000447;14;8;6;815;1;2;1;3;60
201400000448;14;8;25;1800;1;1;3;4;60
201400000449;14;11;27;1930;5;2;2;6;60
201400000450;14;12;9;800;1;1;1;3;60
201400000451;14;1;20;1645;1;2;1;1;60
201400000452;14;3;8;1530;1;1;7;3;60
201400000453;14;4;21;1130;1;1;2;1;60
